Restaurant Name,Restaurant URL,Review Stars,Minneapolis,St. Paul,Restaurant Type,Chain or Local,Brunch/Breakfast,Lunch,Dinner,Cuisine Type
Chipotle,https://www.chipotle.com/,4,Y,Y,Fast-Casual,Chain,N,Y,Y,Latin
Jersey Mike's,https://www.jerseymikes.com/,4.5,Y,Y,Fast-Casual,Chain,N,Y,Y,American
Five Guys,https://www.fiveguys.com/,4.5,Y,Y,Fast-Casual,Chain,N,Y,Y,American
Panda Express,https://www.pandaexpress.com/,3.5,Y,Y,Fast-Casual,Chain,N,Y,Y,Asian
Leaann-Chin,https://www.leeannchin.com/,4,Y,Y,Fast-Casual,Chain,N,Y,Y,Asian
Smashburger,https://smashburger.com/,4,Y,Y,Fast-Casual,Chain,N,Y,Y,American
Shake Shack,https://shakeshack.com/home,4,Y,Y,Fast-Casual,Chain,N,Y,Y,American
Culvers,https://www.culvers.com/,4.5,Y,Y,Fast-Casual,Chain,N,Y,Y,American
Chick-Fil-A,https://www.chick-fil-a.com/,4.5,Y,Y,Fast-Casual,Chain,Y,Y,Y,American
MyBurger,https://www.myburgerusa.com/,4.5,Y,Y,Fast-Casual,Chain,N,Y,Y,American
World Street Kitchen,https://www.eatwsk.com/,4.6,Y,N,Fast-Casual,Local,N,Y,Y,Asian
Rusty Taco,https://rustytaco.com/,4.5,Y,Y,Fast-Casual,Local,Y,Y,Y,Latin
QDOBA,https://www.qdoba.com/,3.5,Y,Y,Fast-Casual,Chain,Y,Y,Y,Latin
Crisp and Green,https://crispandgreen.com/,4.8,Y,Y,Fast-Casual,Local,Y,Y,Y,Health
Freshii,https://www.freshii.com/ca/en-ca/home,4.2,Y,Y,Fast-Casual,Local,Y,Y,Y,Health
Agra Culture,https://www.agra-culture.com/,4,Y,Y,Fast-Casual,Local,Y,Y,Y,Health
Green and the Grain,https://www.greenandthegrain.com/menu/,4.6,Y,N,Fast-Casual,Local,N,Y,Y,Health
Hot Indian,https://www.hotindianfoods.com/,4.2,Y,N,Fast-Casual,Local,N,Y,Y,Asian
Piada Italian Kitchen,https://mypiada.com/menu,4.3,Y,N,Fast-Casual,Local,Y,Y,Y,Italian
Naf Naf Grill,https://www.nafnafgrill.com/,4.5,Y,Y,Fast-Casual,Chain,N,Y,Y,Mediterranean
Roti,https://roti.com/,4.5,Y,N,Fast-Casual,Chain,N,Y,Y,Mediterranean
Bread and Pickle,http://www.breadandpickle.com/,4.2,Y,N,Fast-Casual,Local,Y,Y,Y,American
Caf� Zupas,https://cafezupas.com/,4.5,Y,Y,Fast-Casual,Chain,Y,Y,Y,Health
Wrecktangle Pizza,https://wrecktanglepizza.com/menu/,4.9,Y,N,Fast-Casual,Local,N,Y,Y,Italian
Soul Bowl,https://www.soulbowlmn.com/,4.6,Y,N,Fast-Casual,Local,N,Y,Y,Asian
Andrea Pizza,https://www.andreapizza.com/menu,4.6,Y,N,Fast-Casual,Local,N,Y,Y,Italian
Blaze Pizza,https://www.blazepizza.com/,4.4,Y,N,Fast-Casual,Chain,N,Y,Y,Italian
Nashville Coop,https://www.nashvillecoop.com/,4.6,N,Y,Fast-Casual,Local,N,Y,Y,American
The Naughty Greek,https://www.thenaughtygreek.com/,4.5,Y,Y,Fast-Casual,Local,N,Y,Y,Mediterranean
Brasa Premium Rotisserie,https://www.brasa.us/,4.6,Y,Y,Fast-Casual,Local,N,Y,Y,American
Avocadish,https://www.avocadish.com/,4.4,Y,N,Fast-Casual,Local,N,Y,Y,Health
Viva Taco,http://lusandwiches.com/location/vivataco/,3.7,Y,N,Fast-Casual,Local,N,Y,Y,Latin
Joey Meatballs,https://www.joeymeatballs.org/,4.2,Y,Y,Fast-Casual,Local,N,Y,Y,Italian
Bagu Sushi,https://malcolmyards.market/vendor/bagu-sushi/,4.4,Y,N,Fast-Casual,Local,N,Y,Y,Asian
Momo Dosa,https://malcolmyards.market/vendor/momo-dosa/,4.3,Y,N,Fast-Casual,Local,N,Y,Y,Asian
Advellum,https://www.advellumvegetableeatery.com/,4.9,Y,N,Fast-Casual,Local,N,Y,Y,Health
DelSur Empanadas,https://www.delsurempanadas.com/,4.9,Y,N,Fast-Casual,Local,N,Y,Y,Latin
Ono Hawaiian Plates,https://onohawaiianplates.com/,4.8,Y,N,Fast-Casual,Local,N,Y,Y,Health
Hazlewood Food + Drink,https://hazelwoodfoodanddrink.com/,4.6,Y,N,Fancy Sit-Down,Local,Y,Y,Y,American
Demi,https://demimpls.com/,4.9,Y,N,Fancy Sit-Down,Local,N,N,Y,American
The Butcher's Tale,https://butcherstale.com/,4.8,Y,N,Fancy Sit-Down,Local,N,N,Y,American
The Hilltop,https://www.hilltopedina.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Tilia,https://www.tiliampls.com/,4.8,Y,N,Fancy Sit-Down,Local,Y,Y,Y,American
Coalition Restaurant,https://coalitionrestaurant.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Borough,https://www.boroughmpls.com/,4.6,Y,Y,Fancy Sit-Down,Local,Y,Y,Y,American
Nolo's Kitchen and Bar,https://www.noloskitchen.com/,4.4,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Kieran's Kitchen,https://www.foodbuilding.com/browse-menu,4.8,Y,Y,Casual Sit-Down,Local,Y,Y,Y,Health
Stanley's NE Bar Room,https://www.stanleysbarroom.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
The Buttered Tin,https://www.thebutteredtin.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
The Sample Room,https://the-sample-room.com/,4.6,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Steele & Hops,https://steeleandhopsmn.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Fireside Foundry,https://firesidefoundry.com/,4.4,Y,N,Casual Sit-Down,Local,N,Y,Y,Italian
Travail Kitchen and Amusements,https://www.travailkitchen.com/,4.8,Y,N,Fancy Sit-Down,Local,N,N,Y,American
Alma,https://www.almampls.com/,4.6,Y,N,Fancy Sit-Down,Local,Y,Y,Y,American
All Saints,https://allsaintsmpls.com/,4.8,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Cafe Alma,https://www.almampls.com/cafe/,4.6,Y,N,Casual Sit-Down,Local,N,Y,Y,American
Sidebar at Surdyks,https://www.sidebaratsurdyks.com/,4.5,Y,N,Fancy Sit-Down,Local,N,Y,Y,Italian
Sonder Shaker,https://www.exploretock.com/thesondershaker,4.6,Y,N,Casual Sit-Down,Local,Y,N,Y,American
StepChld,https://www.stepchld.com/,4.5,Y,N,Casual Sit-Down,Local,N,N,Y,American
Stray Dog,https://www.straydogmpls.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
RH Rooftop,https://rh.com/minneapolis/restaurant,4.2,Y,N,Fancy Sit-Down,Local,Y,Y,Y,American
Tenant MPLS,http://tenantmpls.com/,4.9,Y,N,Fancy Sit-Down,Local,N,N,Y,American
Petite Leon,https://petiteleonmpls.com/,4.7,Y,N,Casual Sit-Down,Local,N,N,Y,American
Wise Acre,https://www.wiseacreeatery.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Cafe Ceres,https://www.cafeceresmpls.com/,4.8,Y,N,Casual Sit-Down,Local,Y,Y,Y,Mediterranean
The Block SLP,https://www.theblockslp.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Augustine's,https://augustinesmn.com/,4.5,N,Y,Casual Sit-Down,Local,Y,Y,Y,American
Dark Horse Bar and Eatery,https://www.darkhorsebarandeatery.com/,4.4,N,Y,Casual Sit-Down,Local,N,Y,Y,American
Hope Breakfast Bar,https://www.hopebreakfast.com/,4.5,Y,Y,Casual Sit-Down,Local,Y,Y,N,American
Ox Cart Rooftop,http://www.oxcartarcadeandrooftop.com/,3.9,N,Y,Casual Sit-Down,Local,N,N,Y,American
The Bungalow Club,https://www.thebungalowclubmpls.com/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
The Gnome Craft Pub,https://www.thegnomepub.com/,4.5,N,Y,Casual Sit-Down,Local,Y,Y,Y,American
Cook,http://www.cookstp.com/,4.7,N,Y,Casual Sit-Down,Local,N,N,Y,American
112 Eatery,https://www.112eatery.com/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,American
The Kenwood,https://www.thekenwoodrestaurant.com/,4.6,Y,N,Casual Sit-Down,Local,Y,N,Y,American
Urban Eatery,http://www.myurbaneatery.com/,4.5,Y,N,Casual Sit-Down,Local,N,Y,Y,American
The Copper Hen,http://www.copperhenkitchen.com/,4.3,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
The Lowry,https://www.thelowryuptown.com/,4.4,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Martina,https://www.martinarestaurant.com/,4.7,Y,N,Fancy Sit-Down,Local,Y,Y,Y,Latin
Estelle,https://estellestp.com/,4.9,N,Y,Fancy Sit-Down,Local,N,N,Y,Latin
Boludo,https://www.boludo.com/,4.6,Y,N,Casual Sit-Down,Local,N,Y,Y,Latin
Khaluna,https://khaluna.com/,4.1,Y,N,Fancy Sit-Down,Local,N,N,Y,Asian
Moto-I,https://www.moto-i.com/,4.5,Y,N,Casual Sit-Down,Local,N,Y,Y,Asian
George and the Dragon,https://www.ganddpub.com/,4.7,Y,N,Casual Sit-Down,Local,N,Y,Y,American
Chip's Clubhouse,https://visitchips.com/,4.5,N,Y,Casual Sit-Down,Local,N,Y,Y,American
Parlour,https://www.parlourbar.com/,4.6,Y,Y,Casual Sit-Down,Local,N,Y,Y,American
Trax Burgers,https://www.traxburgersandbar.com/menu,4.7,Y,N,Casual Sit-Down,Local,N,N,Y,American
The Unofficial,https://www.theunofficialdb.com/,4.3,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Hideaway Burger Bar,https://hideawaycabinbar.com/,4.3,Y,N,Casual Sit-Down,Local,N,Y,Y,American
Bull's Horn,https://www.bullshornfoodanddrink.com/,4.6,Y,N,Casual Sit-Down,Local,N,Y,Y,American
Matt's Bar,https://mattsbar.com/,4.6,Y,N,Casual Sit-Down,Local,N,Y,Y,American
